Pixel,Intensity
248,2.451172e+01
249,2.465820e+01
250,2.463379e+01
251,2.463379e+01
252,2.460938e+01
253,2.460938e+01
254,2.463379e+01
255,2.465820e+01
256,2.460938e+01
257,2.465820e+01
258,2.465820e+01
259,2.458496e+01
260,2.468262e+01
261,2.465820e+01
262,2.473145e+01
263,2.465820e+01
264,2.465820e+01
265,2.478027e+01
266,2.460938e+01
267,2.475586e+01
268,2.453613e+01
269,2.463379e+01
270,2.463379e+01
271,2.465820e+01
272,2.463379e+01
273,2.470703e+01
274,2.473145e+01
275,2.470703e+01
276,2.470703e+01
277,2.473145e+01
278,2.473145e+01
279,2.470703e+01
280,2.468262e+01
281,2.465820e+01
282,2.478027e+01
283,2.478027e+01
284,2.463379e+01
285,2.465820e+01
286,2.456055e+01
287,2.465820e+01
288,2.463379e+01
289,2.468262e+01
290,2.460938e+01
291,2.470703e+01
292,2.465820e+01
293,2.468262e+01
294,2.473145e+01
295,2.478027e+01
296,2.465820e+01
297,2.478027e+01
298,2.480469e+01
299,2.487793e+01
300,2.478027e+01
301,2.470703e+01
302,2.468262e+01
303,2.475586e+01
304,2.480469e+01
305,2.480469e+01
306,2.495117e+01
307,2.495117e+01
308,2.482910e+01
309,2.485352e+01
310,2.475586e+01
311,2.482910e+01
312,2.475586e+01
313,2.482910e+01
314,2.485352e+01
315,2.497559e+01
316,2.485352e+01
317,2.487793e+01
318,2.500000e+01
319,2.495117e+01
320,2.490234e+01
321,2.507324e+01
322,2.502441e+01
323,2.502441e+01
324,2.502441e+01
325,2.495117e+01
326,2.502441e+01
327,2.507324e+01
328,2.507324e+01
329,2.509766e+01
330,2.512207e+01
331,2.517090e+01
332,2.512207e+01
333,2.517090e+01
334,2.512207e+01
335,2.521973e+01
336,2.512207e+01
337,2.517090e+01
338,2.519531e+01
339,2.512207e+01
340,2.512207e+01
341,2.519531e+01
342,2.514648e+01
343,2.517090e+01
344,2.512207e+01
345,2.519531e+01
346,2.529297e+01
347,2.512207e+01
348,2.512207e+01
349,2.507324e+01
350,2.519531e+01
351,2.524414e+01
352,2.517090e+01
353,2.519531e+01
354,2.529297e+01
355,2.539062e+01
356,2.526855e+01
357,2.524414e+01
358,2.521973e+01
359,2.531738e+01
360,2.531738e+01
361,2.531738e+01
362,2.539062e+01
363,2.539062e+01
364,2.529297e+01
365,2.521973e+01
366,2.534180e+01
367,2.546387e+01
368,2.543945e+01
369,2.536621e+01
370,2.546387e+01
371,2.546387e+01
372,2.534180e+01
373,2.546387e+01
374,2.543945e+01
375,2.546387e+01
376,2.539062e+01
377,2.551270e+01
378,2.546387e+01
379,2.556152e+01
380,2.546387e+01
381,2.543945e+01
382,2.556152e+01
383,2.551270e+01
384,2.551270e+01
385,2.551270e+01
386,2.553711e+01
387,2.565918e+01
388,2.556152e+01
389,2.568359e+01
390,2.570801e+01
391,2.558594e+01
392,2.556152e+01
393,2.570801e+01
394,2.573242e+01
395,2.570801e+01
396,2.570801e+01
397,2.570801e+01
398,2.575684e+01
399,2.580566e+01
400,2.573242e+01
401,2.570801e+01
402,2.585449e+01
403,2.568359e+01
404,2.580566e+01
405,2.580566e+01
406,2.573242e+01
407,2.585449e+01
408,2.573242e+01
409,2.583008e+01
410,2.580566e+01
411,2.583008e+01
412,2.568359e+01
413,2.578125e+01
414,2.590332e+01
415,2.590332e+01
416,2.583008e+01
417,2.580566e+01
418,2.580566e+01
419,2.590332e+01
420,2.583008e+01
421,2.573242e+01
422,2.575684e+01
423,2.592773e+01
424,2.583008e+01
425,2.590332e+01
426,2.587891e+01
427,2.585449e+01
428,2.575684e+01
429,2.595215e+01
430,2.590332e+01
431,2.587891e+01
432,2.585449e+01
433,2.580566e+01
434,2.592773e+01
435,2.592773e+01
436,2.570801e+01
437,2.595215e+01
438,2.587891e+01
439,2.600098e+01
440,2.587891e+01
441,2.585449e+01
442,2.583008e+01
443,2.590332e+01
444,2.580566e+01
445,2.590332e+01
446,2.595215e+01
447,2.595215e+01
448,2.578125e+01
449,2.597656e+01
450,2.595215e+01
451,2.597656e+01
452,2.583008e+01
453,2.580566e+01
454,2.600098e+01
455,2.587891e+01
456,2.600098e+01
457,2.602539e+01
458,2.592773e+01
459,2.595215e+01
460,2.595215e+01
461,2.597656e+01
462,2.600098e+01
463,2.592773e+01
464,2.597656e+01
