Pixel,Intensity
119,9.308271e-01
120,9.353383e-01
121,9.378446e-01
122,9.348371e-01
123,9.318296e-01
124,9.388471e-01
125,9.273183e-01
126,9.273183e-01
127,9.338346e-01
128,9.298246e-01
129,9.293233e-01
130,9.358396e-01
131,9.293233e-01
132,9.308271e-01
133,9.298246e-01
134,9.313283e-01
135,9.363409e-01
136,9.378446e-01
137,9.333333e-01
138,9.333333e-01
139,9.388471e-01
140,9.443609e-01
141,9.288221e-01
142,9.293233e-01
143,9.358396e-01
144,9.313283e-01
145,9.278195e-01
146,9.353383e-01
147,9.283208e-01
148,9.258145e-01
149,9.213033e-01
150,9.338346e-01
151,9.363409e-01
152,9.248120e-01
153,9.147870e-01
154,9.258145e-01
155,9.308271e-01
156,9.263158e-01
157,9.233083e-01
158,9.248120e-01
159,9.223058e-01
160,9.243108e-01
161,9.218045e-01
162,9.273183e-01
163,9.218045e-01
164,9.197995e-01
165,9.258145e-01
166,9.177945e-01
167,9.218045e-01
168,9.273183e-01
169,9.218045e-01
170,9.278195e-01
171,9.253133e-01
172,9.203008e-01
173,9.187970e-01
174,9.273183e-01
175,9.278195e-01
176,9.258145e-01
177,9.197995e-01
178,9.218045e-01
179,9.147870e-01
180,9.187970e-01
181,9.152882e-01
182,9.152882e-01
183,9.197995e-01
184,9.238095e-01
185,9.137845e-01
186,9.208020e-01
187,9.142857e-01
188,9.152882e-01
189,9.187970e-01
190,9.067669e-01
191,9.087719e-01
192,9.077694e-01
193,9.072682e-01
194,9.127820e-01
195,9.162907e-01
196,9.162907e-01
197,9.147870e-01
198,9.177945e-01
199,9.248120e-01
200,9.187970e-01
201,9.117794e-01
202,9.097744e-01
203,9.057644e-01
204,9.072682e-01
205,9.127820e-01
206,9.077694e-01
207,9.052632e-01
208,9.087719e-01
209,9.097744e-01
210,9.122807e-01
211,9.122807e-01
212,9.057644e-01
213,9.067669e-01
214,9.087719e-01
215,9.082707e-01
216,9.047619e-01
217,8.997494e-01
218,9.002506e-01
219,9.037594e-01
220,9.042607e-01
221,8.972431e-01
222,8.992481e-01
223,9.012531e-01
224,9.052632e-01
225,9.017544e-01
226,9.077694e-01
227,9.027569e-01
228,9.037594e-01
229,8.927318e-01
230,8.912281e-01
231,8.957393e-01
232,9.102757e-01
233,8.932331e-01
234,8.872180e-01
235,8.892231e-01
236,8.977444e-01
237,8.942356e-01
238,8.987469e-01
239,8.897243e-01
240,8.882206e-01
241,8.877193e-01
242,8.892231e-01
243,8.872180e-01
244,8.837093e-01
245,8.766917e-01
246,8.807018e-01
247,8.892231e-01
248,8.857143e-01
249,8.766917e-01
250,8.847118e-01
251,8.791980e-01
252,8.897243e-01
253,8.786967e-01
254,8.776942e-01
255,8.812030e-01
256,8.751880e-01
257,8.721805e-01
258,8.751880e-01
259,8.706767e-01
260,8.716792e-01
261,8.616541e-01
262,8.706767e-01
263,8.666667e-01
264,8.696742e-01
265,8.546366e-01
266,8.636591e-01
267,8.601504e-01
268,8.666667e-01
269,8.591479e-01
270,8.656642e-01
271,8.566416e-01
272,8.591479e-01
273,8.556391e-01
274,8.561404e-01
275,8.541353e-01
276,8.486216e-01
277,8.466165e-01
278,8.501253e-01
279,8.516291e-01
280,8.521303e-01
281,8.511278e-01
282,8.576441e-01
283,8.496241e-01
284,8.416040e-01
285,8.416040e-01
286,8.461153e-01
287,8.421053e-01
288,8.426065e-01
289,8.380952e-01
290,8.325815e-01
291,8.355890e-01
292,8.375940e-01
293,8.340852e-01
294,8.325815e-01
295,8.290727e-01
296,8.305764e-01
297,8.315789e-01
298,8.315789e-01
299,8.280702e-01
300,8.225564e-01
301,8.150376e-01
302,8.230576e-01
303,8.155388e-01
304,8.240602e-01
305,8.215539e-01
306,8.180451e-01
307,8.130326e-01
308,8.120301e-01
309,8.100251e-01
310,8.210526e-01
311,8.095238e-01
312,8.160401e-01
313,8.060150e-01
314,8.115288e-01
315,8.105263e-01
316,8.075188e-01
317,8.025063e-01
318,8.025063e-01
319,7.974937e-01
320,8.040100e-01
321,8.040100e-01
322,7.989975e-01
323,7.954887e-01
324,7.969925e-01
325,7.929825e-01
326,7.904762e-01
327,7.839599e-01
328,7.874687e-01
329,7.919799e-01
330,7.879699e-01
331,7.824561e-01
332,7.834586e-01
333,7.744361e-01
334,7.804511e-01
335,7.814536e-01
336,7.764411e-01
337,7.724311e-01
338,7.724311e-01
339,7.694236e-01
340,7.714286e-01
341,7.614035e-01
342,7.684211e-01
343,7.784461e-01
344,7.644110e-01
345,7.609023e-01
346,7.634085e-01
347,7.528822e-01
348,7.614035e-01
349,7.614035e-01
350,7.548872e-01
351,7.573935e-01
352,7.533835e-01
353,7.468672e-01
354,7.553885e-01
355,7.528822e-01
356,7.443609e-01
357,7.428571e-01
358,7.443609e-01
359,7.398496e-01
360,7.453634e-01
361,7.453634e-01
362,7.353383e-01
363,7.353383e-01
364,7.413534e-01
365,7.323308e-01
366,7.363409e-01
367,7.293233e-01
368,7.308271e-01
369,7.283208e-01
370,7.338346e-01
371,7.288221e-01
372,7.273183e-01
373,7.157895e-01
374,7.213033e-01
375,7.238095e-01
376,7.197995e-01
377,7.167920e-01
378,7.192982e-01
379,7.167920e-01
380,7.082707e-01
381,7.037594e-01
382,7.117794e-01
383,7.142857e-01
384,7.182957e-01
385,7.082707e-01
386,7.112782e-01
387,7.092732e-01
388,7.122807e-01
389,6.992481e-01
390,7.102757e-01
391,7.047619e-01
392,7.022556e-01
393,6.987469e-01
394,7.002506e-01
395,6.942356e-01
396,6.927318e-01
397,6.952381e-01
398,6.907268e-01
399,6.912281e-01
400,6.912281e-01
401,6.776942e-01
402,6.771930e-01
403,6.802005e-01
404,6.842105e-01
405,6.867168e-01
406,6.827068e-01
407,6.812030e-01
408,6.852130e-01
409,6.771930e-01
410,6.746867e-01
